stroke_team_id,stroke_type,admissions,proportion_of_all_with_ivt,proportion_of_all_with_mt,proportion_of_mt_with_ivt,proportion1_of_all_with_onset_known_ivt,proportion2_of_mask1_with_onset_to_arrival_on_time_ivt,proportion3_of_mask2_with_arrival_to_scan_on_time_ivt,proportion4_of_mask3_with_onset_to_scan_on_time_ivt,proportion5_of_mask4_with_enough_time_to_treat_ivt,proportion6_of_mask5_with_treated_ivt,lognorm_mu_onset_arrival_mins_ivt,lognorm_sigma_onset_arrival_mins_ivt,lognorm_mu_arrival_scan_arrival_mins_ivt,lognorm_sigma_arrival_scan_arrival_mins_ivt,lognorm_mu_scan_needle_mins_ivt,lognorm_sigma_scan_needle_mins_ivt,proportion1_of_all_with_onset_known_mt,proportion2_of_mask1_with_onset_to_arrival_on_time_mt,proportion3_of_mask2_with_arrival_to_scan_on_time_mt,proportion4_of_mask3_with_onset_to_scan_on_time_mt,proportion5_of_mask4_with_enough_time_to_treat_mt,proportion6_of_mask5_with_treated_mt,lognorm_mu_onset_arrival_mins_mt,lognorm_sigma_onset_arrival_mins_mt,lognorm_mu_arrival_scan_arrival_mins_mt,lognorm_sigma_arrival_scan_arrival_mins_mt,lognorm_mu_scan_puncture_mins_mt,lognorm_sigma_scan_puncture_mins_mt,proportion_of_all_with_mask6_and_ivt,proportion_of_all_with_mask6_and_mt
1,lvo,79.4,0.244332,0.04534,0.444444,0.513854,0.823529,0.982143,0.951515,1.0,0.547771,4.551001,0.468568,2.783762,0.97023,3.656848,0.77718,0.513854,0.872549,0.988764,0.971591,1.0,0.081871,4.618692,0.533736,2.839948,1.036634,4.249917,1.663217,0.216625,0.035264
1,nlvo,223.8,0.140304,0.001787,0.5,0.582663,0.602761,0.959288,0.877984,1.0,0.404834,4.596397,0.546661,3.252934,0.982047,3.594554,0.671755,0.582663,0.670245,0.97254,0.917647,1.0,0.005128,4.703262,0.609983,3.374502,1.044641,,,0.11975,0.001787
1,other,40.2,0.0,0.0,,0.512438,0.757282,0.974359,0.947368,1.0,0.0,4.513955,0.693023,2.969284,1.003359,,,0.512438,0.84466,0.977011,0.941176,1.0,0.0,4.632703,0.745401,3.041762,1.059592,,,0.0,0.0
1,mixed,343.4,0.147932,0.011648,0.45,0.558532,0.666319,0.967136,0.906149,1.0,0.392857,4.574399,0.547664,3.092787,1.001693,3.618906,0.71373,0.558532,0.732013,0.977208,0.934402,1.0,0.024961,4.673074,0.610768,3.196128,1.069103,4.36563,1.580607,0.12813,0.009319
2,lvo,87.8,0.410023,0.113895,0.58,0.492027,0.898148,1.0,0.974227,1.0,0.645503,4.375421,0.516469,2.203623,1.110436,3.741204,0.793498,0.492027,0.949074,1.0,0.985366,1.0,0.128713,4.444934,0.582262,2.253622,1.132752,4.341646,0.39925,0.277904,0.059226
2,nlvo,325.0,0.122462,0.005538,0.666667,0.534154,0.668203,0.943103,0.895795,1.0,0.320408,4.61408,0.485395,2.541051,1.423182,3.754806,0.635716,0.534154,0.740783,0.976672,0.923567,1.0,0.013793,4.71915,0.561672,2.749398,1.522875,,,0.096615,0.004923
2,other,47.2,0.0,0.0,,0.550847,0.823077,0.971963,0.942308,1.0,0.0,4.388715,0.568999,2.109226,1.221712,,,0.550847,0.869231,0.973451,0.954545,1.0,0.0,4.461451,0.634265,2.208613,1.279263,,,0.0,0.0
2,mixed,460.0,0.164783,0.025652,0.59322,0.527826,0.7257,0.959137,0.919527,1.0,0.359073,4.534155,0.514642,2.410435,1.344057,3.748858,0.707727,0.527826,0.791598,0.98127,0.940615,1.0,0.038331,4.630353,0.588161,2.578539,1.438503,4.510827,0.592445,0.121304,0.014783
3,lvo,57.2,0.311189,0.111888,0.6875,0.520979,0.852349,1.0,0.96063,1.0,0.622951,4.470699,0.509455,3.062614,0.927187,3.509828,1.189204,0.520979,0.892617,1.0,1.0,1.0,0.203008,4.522309,0.552364,2.963742,1.064325,4.594575,1.250206,0.265734,0.094406
3,nlvo,150.2,0.075899,0.003995,1.0,0.423435,0.562893,0.960894,0.883721,1.0,0.296053,4.618243,0.501423,3.621635,0.757106,3.700318,0.978028,0.423435,0.647799,0.966019,0.929648,1.0,0.016216,4.758644,0.592844,3.582737,1.016042,,,0.05992,0.003995
3,other,41.8,0.0,0.0,,0.45933,0.635417,0.983607,0.933333,1.0,0.0,4.458749,0.558807,3.314516,0.753315,,,0.45933,0.75,0.986111,1.0,1.0,0.0,4.642383,0.674168,2.997206,1.219629,,,0.0,0.0
3,mixed,249.2,0.117175,0.02809,0.714286,0.451846,0.651865,0.978202,0.91922,1.0,0.366667,4.540676,0.518247,3.372546,0.856935,3.580671,1.114969,0.451846,0.730018,0.980535,0.965261,1.0,0.077121,4.661799,0.603124,3.275295,1.109957,4.672136,1.217832,0.097111,0.024077
